x,y,z,vx,vy,vz,rho,press,tipo,mass
6.00644541 , 6.13202088 , 0.00000000 , -0.20071543 , 0.08682496 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.41436655 , 5.91205328 , 0.00000000 , -0.10169107 , 0.99251038 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.88529203 , 6.82134705 , 0.00000000 , -1.02268206 , 0.98584644 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.90262986 , 7.16243762 , 0.00000000 , 0.28071282 , -0.00261527 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.95497434 , 7.94879775 , 0.00000000 , 0.44899892 , -0.88996565 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.94016105 , 8.14132467 , 0.00000000 , -1.23181840 , -0.38494045 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.88846030 , 8.94923352 , 0.00000000 , 0.35856232 , -0.23711363 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99865775 , 9.41319975 , 0.00000000 , -0.33667096 , -0.62675837 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.73217925 , 9.36233365 , 0.00000000 , -0.12829347 , 0.63515815 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.85604019 , 9.90429160 , 0.00000000 , -0.14313566 , 0.70541410 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.83923362 , 10.29345657 , 0.00000000 , 0.04426895 , -0.00656222 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.94524175 , 10.41186436 , 0.00000000 , -0.61510648 , -0.13828179 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.90844176 , 10.97177543 , 0.00000000 , -0.69685972 , -0.12869754 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99529369 , 11.93778065 , 0.00000000 , -0.81028134 , 0.80146387 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.06602651 , 12.56965522 , 0.00000000 , -0.24625794 , -0.39255087 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.10155844 , 12.02805661 , 0.00000000 , 0.94988721 , 0.33784712 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.79347902 , 13.83540551 , 0.00000000 , 0.28273392 , -0.64808171 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.96858563 , 13.26055251 , 0.00000000 , 0.11365295 , -0.52615813 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.81952175 , 14.83731830 , 0.00000000 , -0.93449300 , -0.00126688 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95693681 , 14.32235253 , 0.00000000 , 0.12613859 , 0.54589073 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.82976603 , 15.88240185 , 0.00000000 , 0.42307460 , -0.98590047 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.82177712 , 15.48462339 , 0.00000000 , -0.35449631 , -0.81170422 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.79634234 , 16.87798140 , 0.00000000 , -1.07826024 , -0.57083506 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.88513135 , 16.54318735 , 0.00000000 , -0.55306285 , -0.76541493 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.79397966 , 17.87988294 , 0.00000000 , -0.52482938 , 0.53946861 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95164359 , 17.51800635 , 0.00000000 , 0.07885177 , -0.37374934 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.77309644 , 18.97482018 , 0.00000000 , -0.31391212 , 0.63752810 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95340342 , 18.42762874 , 0.00000000 , -0.64241785 , 0.24213995 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.76294471 , 20.07023521 , 0.00000000 , 0.22406315 , 0.13525526 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95172764 , 19.50708581 , 0.00000000 , -0.75982361 , 0.81842883 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.82257643 , 21.01840085 , 0.00000000 , 0.08615700 , 0.81106809 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.94976387 , 20.54335212 , 0.00000000 , -1.41615187 , 1.38999405 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.88967802 , 21.92981423 , 0.00000000 , 0.07645700 , -0.37772209 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.92394202 , 21.56218806 , 0.00000000 , -0.64263891 , 0.79557495 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.80175539 , 22.99071349 , 0.00000000 , -0.68498030 , 0.50179771 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95880842 , 22.58898678 , 0.00000000 , 0.48778103 , 0.52616722 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.82915811 , 23.98823479 , 0.00000000 , -0.90519746 , 0.53591964 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.96733858 , 23.53280561 , 0.00000000 , -0.57031894 , 0.03618645 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.73385857 , 25.04601197 , 0.00000000 , -0.02549569 , 0.43441224 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
